status,vencedor_nome,vencedor_estrategia,turnos_vencedor,cartas_puxadas,tempo_s,estrategias_jogadores,cartas_finais
Vencedor,Bia,strategy_conservation,7,0,0.00010919570922851562,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 2, 'Bia': 0, 'Douglas': 5}"
Vencedor,Bia,strategy_conservation,13,6,0.00027108192443847656,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 9, 'Bia': 0, 'Douglas': 2}"
Vencedor,Douglas,strategy_optimized_discard,55,29,0.0006909370422363281,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 3, 'Douglas': 0}"
Vencedor,Júlio,strategy_offensive,11,2,0.00016117095947265625,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 3, 'Douglas': 2}"
Vencedor,Bia,strategy_conservation,11,2,0.0001747608184814453,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 0, 'Douglas': 3}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00017213821411132812,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 10, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,15,6,0.00023603439331054688,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 2, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,27,14,0.0004189014434814453,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,9,1,0.0001461505889892578,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 8, 'Douglas': 0}"
Vencedor,Júlio,strategy_offensive,17,8,0.00030422210693359375,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 7, 'Douglas': 4}"
Vencedor,Bia,strategy_conservation,11,4,0.00020360946655273438,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 6, 'Bia': 0, 'Douglas': 7}"
Vencedor,Douglas,strategy_optimized_discard,13,3,0.00022673606872558594,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 9, 'Bia': 7, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,17,8,0.00031447410583496094,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 0, 'Douglas': 3}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00013518333435058594,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 6, 'Bia': 10, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,19,12,0.00034236907958984375,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 0, 'Douglas': 5}"
Vencedor,Júlio,strategy_offensive,25,11,0.00034999847412109375,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 2, 'Douglas': 6}"
Vencedor,Douglas,strategy_optimized_discard,19,9,0.0002887248992919922,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 9, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00015044212341308594,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 14, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,9,1,0.00019478797912597656,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 13, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,23,14,0.0003695487976074219,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 1, 'Bia': 4, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,7,0,0.00011992454528808594,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 0, 'Douglas': 4}"
Vencedor,Bia,strategy_conservation,29,14,0.00041103363037109375,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 0, 'Douglas': 8}"
Vencedor,Júlio,strategy_offensive,13,3,0.00019812583923339844,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 5, 'Douglas': 5}"
Vencedor,Bia,strategy_conservation,19,8,0.00023412704467773438,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 6}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00013446807861328125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 10, 'Bia': 2, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,17,7,0.00027441978454589844,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 3}"
Vencedor,Bia,strategy_conservation,13,6,0.00025582313537597656,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 8, 'Bia': 0, 'Douglas': 5}"
